name,position,shirt_no
Jorge Cuenca,Centre-Back,5
Yerson Mosquera,Centre-Back,2
Eric Bailly,Centre-Back,12
Raúl Albiol,Centre-Back,3
Aïssa Mandi,Centre-Back,23
Alfonso Pedraza,Left-Back,24
Alberto Moreno,Left-Back,18
Carlos Romero,Left-Back,37
Juan Foyth,Right-Back,8
Adrià Altimira,Right-Back,26
Kiko Femenía,Right-Back,17
Ramón Terrats,Defensive Midfield,20
Étienne Capoue,Defensive Midfield,6
Francis Coquelin,Defensive Midfield,19
Santi Comesaña,Central Midfield,4
Dani Parejo,Central Midfield,10
Manu Trigueros,Central Midfield,14
Álex Baena,Attacking Midfield,16
Denis Suárez,Attacking Midfield,22
Gonçalo Guedes,Left Winger,9
Yéremy Pino,Right Winger,21
Ilias Akhomach,Right Winger,27
Bertrand Traoré,Right Winger,25
Alexander Sørloth,Centre-Forward,11
Gerard Moreno,Centre-Forward,7
José Luis Morales,Centre-Forward,15
Jorge Pascual,Centre-Forward,30
Ørjan Nyland,Goalkeeper,13
Marko Dmitrovic,Goalkeeper,1
Loïc Badé,Centre-Back,22
Kike Salas,Centre-Back,2
Marcão,Centre-Back,23
Nemanja Gudelj,Centre-Back,6
Tanguy Nianzou,Centre-Back,14
Sergio Ramos,Centre-Back,4
Adrià Pedrosa,Left-Back,3
Marcos Acuña,Left-Back,19
Juanlu Sánchez,Right-Back,26
Jesús Navas,Right-Back,16
Boubakary Soumaré,Defensive Midfield,24
Lucien Agoumé,Defensive Midfield,42
Djibril Sow,Central Midfield,18
Óliver Torres,Central Midfield,21
Joan Jordán,Central Midfield,8
Hannibal,Attacking Midfield,46
Lucas Ocampos,Left Winger,5
Dodi Lukébakio,Right Winger,11
Suso,Right Winger,7
Erik Lamela,Right Winger,17
Adnan Januzaj,Right Winger,25
Youssef En-Nesyri,Centre-Forward,15
Isaac Romero,Centre-Forward,20
Alejo Véliz,Centre-Forward,10
Rafa Mir,Centre-Forward,9
Mariano Díaz,Centre-Forward,12
Rui Silva,Goalkeeper,13
Claudio Bravo,Goalkeeper,1
Chadi Riad,Centre-Back,28
Germán Pezzella,Centre-Back,6
Marc Bartra,Centre-Back,15
Sokratis Papastathopoulos,Centre-Back,19
Juan Miranda,Left-Back,3
Abner,Left-Back,20
Héctor Bellerín,Right-Back,2
Youssouf Sabaly,Right-Back,23
Guido Rodríguez,Defensive Midfield,5
Johnny Cardoso,Defensive Midfield,4
Marc Roca,Defensive Midfield,21
William Carvalho,Defensive Midfield,14
Sergi Altimira,Central Midfield,27
Pablo Fornals,Attacking Midfield,18
Nabil Fekir,Attacking Midfield,8
Isco,Attacking Midfield,22
Rodri Sánchez,Attacking Midfield,17
Assane Diao,Left Winger,38
Abde Ezzalzouli,Left Winger,7
Ayoze Pérez,Left Winger,10
Aitor Ruibal,Right Winger,24
Willian José,Centre-Forward,12
Chimy Ávila,Centre-Forward,9
Cédric Bakambu,Centre-Forward,11
Iván Villar,Goalkeeper,13
Vicente Guaita,Goalkeeper,25
Unai Núñez,Centre-Back,4
Carl Starfelt,Centre-Back,2
Joseph Aidoo,Centre-Back,15
Carlos Domínguez,Centre-Back,28
Manu Sánchez,Left-Back,23
Mihailo Ristic,Left-Back,21
Óscar Mingueza,Right-Back,3
Javier Manquillo,Right-Back,22
Kevin Vázquez,Right-Back,20
Renato Tapia,Defensive Midfield,5
Jailson,Defensive Midfield,16
Fran Beltrán,Central Midfield,8
Luca de la Torre,Central Midfield,14
Carlos Dotor,Central Midfield,6
