name,position,shirt_no
Jonathan Clauss,Right-Back,7
Amir Murillo,Right-Back,62
Geoffrey Kondogbia,Defensive Midfield,19
Pape Gueye,Defensive Midfield,22
Jean Onana,Defensive Midfield,17
Valentin Rongier,Central Midfield,21
Jordan Veretout,Central Midfield,27
Azzedine Ounahi,Central Midfield,8
Bilal Nadir,Central Midfield,34
Emran Soglo,Left Midfield,37
Amine Harit,Attacking Midfield,11
Luis Henrique,Left Winger,44
Ismaïla Sarr,Right Winger,23
Joaquín Correa,Second Striker,20
Iliman Ndiaye,Centre-Forward,29
Faris Moumbagna,Centre-Forward,14
Pierre-Emerick Aubameyang,Centre-Forward,10
Brice Samba,Goalkeeper,30
Jean-Louis Leca,Goalkeeper,16
Yannick Pandor,Goalkeeper,40
Kevin Danso,Centre-Back,4
Facundo Medina,Centre-Back,14
Jonathan Gradit,Centre-Back,24
Abdukodir Khusanov,Centre-Back,25
Deiver Machado,Left-Back,3
Massadio Haidara,Left-Back,21
Jhoanner Chávez,Left-Back,13
Ruben Aguilar,Right-Back,2
Salis Abdul Samed,Defensive Midfield,6
Nampalys Mendy,Defensive Midfield,26
Andy Diouf,Central Midfield,18
Neil El Aynaoui,Central Midfield,23
Przemyslaw Frankowski,Right Midfield,29
Jimmy Cabot,Right Midfield,19
David Pereira da Costa,Attacking Midfield,10
Angelo Fulgini,Attacking Midfield,11
Adrien Thomasson,Attacking Midfield,28
Ayanda Sishuba,Attacking Midfield,32
Nolan Bonte,Attacking Midfield,37
Morgan Guilavogui,Right Winger,27
Elye Wahi,Centre-Forward,9
Wesley Saïd,Centre-Forward,22
Florian Sotoca,Centre-Forward,7
Ibrahima Baldé,Centre-Forward,36
Alaa Bellaarouch,Goalkeeper,36
Matthieu Dreyer,Goalkeeper,1
Alexandre Pierre,Goalkeeper,30
Abakar Sylla,Centre-Back,24
Ismaël Doukouré,Centre-Back,29
Lucas Perrin,Centre-Back,5
Saïdou Sow,Centre-Back,13
Steven Baseya,Centre-Back,25
Thomas Delaine,Left-Back,3
Frédéric Guilbert,Right-Back,2
Marvin Senaya,Right-Back,28
Karol Fila,Right-Back,4
Junior Mwanga,Defensive Midfield,18
Ibrahima Sissoko,Defensive Midfield,27
Jean-Eudes Aholou,Defensive Midfield,6
Andrey Santos,Central Midfield,8
Jessy Deminguet,Central Midfield,7
Sanjin Prcic,Central Midfield,14
Habib Diarra,Attacking Midfield,19
Dilane Bakwa,Left Winger,26
Ângelo,Right Winger,23
Emanuel Emegha,Centre-Forward,10
Moïse Sahi Dion,Centre-Forward,11
Lebo Mothiba,Centre-Forward,12
Kévin Gameiro,Centre-Forward,9
Yehvann Diouf,Goalkeeper,94
Alexandre Olliero,Goalkeeper,96
Ludovic Butelle,Goalkeeper,16
Joseph Okumu,Centre-Back,2
Emmanuel Agbadou,Centre-Back,24
Yunis Abdelhamid,Centre-Back,5
Sergio Akieme,Left-Back,18
Thibault De Smet,Left-Back,25
Thomas Foket,Right-Back,32
Maxime Busi,Right-Back,4
Thérence Koudou,Right-Back,45
Valentin Atangana,Defensive Midfield,6
Benjamin Stambouli,Defensive Midfield,26
Marshall Munetsi,Central Midfield,15
Teddy Teuma,Central Midfield,10
Amir Richardson,Central Midfield,8
Reda Khadra,Attacking Midfield,14
Amadou Koné,Attacking Midfield,72
Mohamed Daramy,Left Winger,9
Keito Nakamura,Left Winger,17
Mamadou Diakhon,Left Winger,67
Junya Ito,Right Winger,7
Oumar Diakité,Centre-Forward,22
Adama Bojang,Centre-Forward,27
Yvon Mvogo,Goalkeeper,38
Alfred Gomis,Goalkeeper,1
Dominique Youfeigane,Goalkeeper,94
Montassar Talbi,Centre-Back,3
Isaak Touré,Centre-Back,95
Formose Mendy,Centre-Back,13
Nathaniel Adjei,Centre-Back,32
Julien Laporte,Centre-Back,15
Loris Mouyokolo,Centre-Back,4
Benjamin Mendy,Left-Back,5
Darlin Yongwa,Left-Back,12
Gédéon Kalulu,Right-Back,24
Panos Katseris,Right-Back,7
Igor Silva,Right-Back,2
Laurent Abergel,Defensive Midfield,19
Tiemoué Bakayoko,Defensive Midfield,14
Bonke Innocent,Defensive Midfield,8
Jean-Victor Makengo,Central Midfield,17
Imrân Louza,Central Midfield,6
Ayman Kari,Central Midfield,44
Théo Le Bris,Left Midfield,37
Eli Junior Kroupi,Attacking Midfield,22
Julien Ponceau,Attacking Midfield,21
Quentin Boisgard,Attacking Midfield,97
Badredine Bouanani,Right Winger,10
Mohamed Bamba,Centre-Forward,9
Bamba Dieng,Centre-Forward,11
Aiyegun Tosin,Centre-Forward,27
Guillaume Restes,Goalkeeper,50
Álex Domínguez,Goalkeeper,30
Thomas Himeur,Goalkeeper,1
Justin Lacombe,Goalkeeper,40
Logan Costa,Centre-Back,6
Christian Mawissa,Centre-Back,13
Rasmus Nicolaisen,Centre-Back,2
Moussa Diarra,Centre-Back,23
Kévin Keben,Centre-Back,25
Gabriel Suazo,Left-Back,17
Ylies Aradj,Left-Back,26
Mikkel Desler,Right-Back,3
Warren Kamanzi,Right-Back,12
Stijn Spierings,Defensive Midfield,4
Cristian Cásseres Jr.,Central Midfield,24
Vincent Sierro,Central Midfield,8
Yann Gboho,Attacking Midfield,37
Niklas Schmidt,Attacking Midfield,20
Denis Genreau,Attacking Midfield,5
César Gelabert,Attacking Midfield,11
Naatan Skyttä,Attacking Midfield,22
Ibrahim Cissoko,Left Winger,10
Zakaria Aboukhlal,Right Winger,7
Aron Dønnum,Right Winger,15
Shavy Babicka,Right Winger,80
Thijs Dallinga,Centre-Forward,9
Frank Magri,Centre-Forward,19
Marco Bizot,Goalkeeper,40
Grégoire Coudert,Goalkeeper,30
Yan Marillat,Goalkeeper,16
Lilian Brassier,Centre-Back,3
Brendan Chardonnet,Centre-Back,5
Julien Le Cardinal,Centre-Back,25
Bradley Locko,Left-Back,2
Jordan Amavi,Left-Back,19
Antonin Cartillier,Left-Back,18
Kenny Lala,Right-Back,27
Luck Zogbé,Right-Back,12
Pierre Lees-Melou,Defensive Midfield,20
Jonas Martin,Defensive Midfield,28
Mahdi Camara,Central Midfield,45
Hugo Magnetti,Central Midfield,8
Axel Camblan,Left Midfield,11
Kamory Doumbia,Attacking Midfield,23
Jérémy Le Douaron,Left Winger,22
Billal Brahimi,Left Winger,21
Mathias Pereira Lage,Left Winger,26
Adrien Lebeau,Left Winger,14
Romain Del Castillo,Right Winger,10
Martín Satriano,Centre-Forward,7
Steve Mounié,Centre-Forward,9
Benjamin Lecomte,Goalkeeper,40
Dimitry Bertaud,Goalkeeper,16
Belmin Dizdarevic,Goalkeeper,1
Kiki Kouyaté,Centre-Back,4
Becir Omeragic,Centre-Back,27
Modibo Sagnan,Centre-Back,5
Christopher Jullien,Centre-Back,6
Issiaga Sylla,Left-Back,3
Théo Sainte-Luce,Left-Back,17
Lucas Mincarelli,Left-Back,-
Falaye Sacko,Right-Back,77
Enzo Tchato,Right-Back,29
Silvan Hefti,Right-Back,36
Joris Chotard,Defensive Midfield,13
Jordan Ferri,Central Midfield,12
Khalil Fayad,Central Midfield,22
Léo Leroy,Central Midfield,18
Téji Savanier,Attacking Midfield,11
Sacha Delaye,Attacking Midfield,19
Yann Karamoh,Left Winger,23
Wahbi Khazri,Left Winger,10
Arnaud Nordin,Right Winger,7
Mousa Tamari,Right Winger,9
Tanguy Coulibaly,Right Winger,70
Akor Adams,Centre-Forward,8
Alban Lafont,Goalkeeper,1
Rémy Descamps,Goalkeeper,16
Denis Petric,Goalkeeper,30
Nathan Zeze,Centre-Back,44
Eray Cömert,Centre-Back,24
Jean-Kévin Duverne,Centre-Back,2
Jean-Charles Castelletto,Centre-Back,21
Bastien Meupiyou,Centre-Back,45
Nicolas Pallois,Centre-Back,4
Nicolas Cozza,Left-Back,3
Kelvin Amian,Right-Back,98
Pedro Chirivella,Defensive Midfield,5
Douglas Augusto,Central Midfield,6
Samuel Moutoussamy,Central Midfield,8
Moussa Sissoko,Central Midfield,17
Florent Mollet,Attacking Midfield,25
Moses Simon,Left Winger,27
Stredair Appuah,Left Winger,23
Marcus Coco,Right Winger,11
Abdoul Kader Bamba,Right Winger,12
Mostafa Mohamed,Centre-Forward,31
Matthis Abline,Centre-Forward,39
Bénie Traoré,Centre-Forward,77
Ignatius Ganago,Centre-Forward,7
Tino Kadewere,Centre-Forward,15
Arthur Desmas,Goalkeeper,30
Mathieu Gorgelin,Goalkeeper,1
Arouna Sangante,Centre-Back,93
Étienne Youté Kinkoué,Centre-Back,6
Gautier Lloris,Centre-Back,4
Yoann Salmier,Centre-Back,22
Christopher Operi,Left-Back,27
Cheick Doumbia,Left-Back,24
Loïc Nego,Right-Back,7
Oualid El Hajjam,Right-Back,17
Abdoulaye Touré,Defensive Midfield,94
Aloïs Confais,Defensive Midfield,25
Daler Kuzyaev,Central Midfield,14
Yassine Kechta,Central Midfield,8
Rassoul Ndiaye,Central Midfield,19
Oussama Targhalline,Central Midfield,5
André Ayew,Left Winger,28
Josué Casimir,Right Winger,23
Samuel Grandsir,Right Winger,29
Emmanuel Sabbi,Right Winger,11
Mohamed Bayo,Centre-Forward,9
Antoine Joujou,Centre-Forward,21
Andy Logbo,Centre-Forward,20
Steve Ngoura,Centre-Forward,13
Mory Diaw,Goalkeeper,99
Massamba N'Diaye,Goalkeeper,1
Théo Borne,Goalkeeper,16
Chrislain Matsima,Centre-Back,4
Andy Pelmard,Centre-Back,17
Maximiliano Caufriez,Centre-Back,5
Florent Ogier,Centre-Back,21
Jérémy Jacquet,Centre-Back,97
Neto Borges,Left-Back,3
Yoël Armougom,Left-Back,22
Cheick Oumar Konaté,Right-Back,15
Mehdi Zeffane,Right-Back,2
Yohann Magnin,Defensive Midfield,7
Maxime Gonalons,Defensive Midfield,12
Johan Gastien,Defensive Midfield,25
Habib Keïta,Central Midfield,6
Muhammed Cham,Attacking Midfield,10
Alan Virginius,Left Winger,26
Elbasan Rashani,Left Winger,18
Jérémie Bela,Left Winger,91
Bilal Boutobba,Right Winger,8
Jim Allevinah,Right Winger,11
Shamar Nicholson,Centre-Forward,23
Grejohn Kyei,Centre-Forward,95
Komnen Andric,Centre-Forward,9
Guillaume Dietsch,Goalkeeper,1
Alexandre Oukidja,Goalkeeper,16
Marc-Aurèle Caillard,Goalkeeper,30
Fali Candé,Centre-Back,5
Christophe Hérelle,Centre-Back,29
Ismaël Traoré,Centre-Back,8
Abou Lo,Centre-Back,15
Sadibou Sané,Centre-Back,38
Matthieu Udol,Left-Back,3
Kevin Van Den Kerkhof,Right-Back,22
Koffi Kouao,Right-Back,39
Maxime Colin,Right-Back,2
Danley Jean Jacques,Defensive Midfield,27
Kévin N'Doram,Defensive Midfield,6
Arthur Atta,Defensive Midfield,25
Warren Tchimbembé,Defensive Midfield,12
Lamine Camara,Central Midfield,18
Joseph Nduquidi,Central Midfield,34
Cheikh Sabaly,Left Winger,14
Didier Lamkel Zé,Left Winger,11
Maïdine Douane,Left Winger,-
Papa Amadou Diallo,Left Winger,7
Ablie Jallow,Right Winger,36
Joel Asoro,Right Winger,99
Malick Mbaye,Right Winger,26
Georges Mikautadze,Centre-Forward,10
Benjamin Tetteh,Centre-Forward,17
Ibou Sané,Centre-Forward,37
