name,position,shirt_no
Tim Iroegbunam,Central Midfield,47
Jacob Ramsey,Attacking Midfield,41
Nicolò Zaniolo,Attacking Midfield,22
Leon Bailey,Left Winger,31
Morgan Rogers,Left Winger,27
Moussa Diaby,Right Winger,19
Emiliano Buendía,Right Winger,10
Ollie Watkins,Centre-Forward,11
Jhon Durán,Centre-Forward,24
Nick Pope,Goalkeeper,22
Martin Dúbravka,Goalkeeper,1
Loris Karius,Goalkeeper,18
Mark Gillespie,Goalkeeper,29
Sven Botman,Centre-Back,4
Fabian Schär,Centre-Back,5
Jamaal Lascelles,Centre-Back,6
Paul Dummett,Centre-Back,3
Lewis Hall,Left-Back,20
Matt Targett,Left-Back,13
Dan Burn,Left-Back,33
Tino Livramento,Right-Back,21
Kieran Trippier,Right-Back,2
Emil Krafth,Right-Back,17
Bruno Guimarães,Defensive Midfield,39
Sandro Tonali,Defensive Midfield,8
Joelinton,Central Midfield,7
Joe Willock,Central Midfield,28
Sean Longstaff,Central Midfield,36
Lewis Miley,Central Midfield,67
Elliot Anderson,Central Midfield,32
Matt Ritchie,Right Midfield,11
Anthony Gordon,Left Winger,10
Harvey Barnes,Left Winger,15
Miguel Almirón,Right Winger,24
Jacob Murphy,Right Winger,23
Alexander Isak,Centre-Forward,14
Callum Wilson,Centre-Forward,9
Bart Verbruggen,Goalkeeper,1
Jason Steele,Goalkeeper,23
Tom McGill,Goalkeeper,38
Adam Webster,Centre-Back,4
Igor,Centre-Back,3
Jan Paul van Hecke,Centre-Back,29
Lewis Dunk,Centre-Back,5
Pervis Estupiñán,Left-Back,30
Valentín Barco,Left-Back,19
Tariq Lamptey,Right-Back,2
Joël Veltman,Right-Back,34
Carlos Baleba,Defensive Midfield,20
Billy Gilmour,Defensive Midfield,11
Jack Hinshelwood,Defensive Midfield,41
Jakub Moder,Central Midfield,15
Pascal Groß,Central Midfield,13
James Milner,Central Midfield,6
Julio Enciso,Attacking Midfield,10
Facundo Buonanotte,Attacking Midfield,40
Adam Lallana,Attacking Midfield,14
Kaoru Mitoma,Left Winger,22
Simon Adingra,Left Winger,24
Ansu Fati,Left Winger,31
Solly March,Right Winger,7
